,Date,CCI
1656,2012-07-14,100.8156
1657,2012-07-15,100.7909
1658,2012-07-16,100.7217
1659,2012-07-17,100.5145
1660,2012-07-18,100.2817
1661,2012-07-19,100.0938
1662,2012-07-20,99.90807
1663,2012-07-21,99.71855
1664,2012-07-22,99.74195999999999
1665,2012-07-23,99.96177
1666,2012-07-24,100.029
1667,2012-07-25,99.80131999999999
1668,2012-07-26,99.54204
1669,2012-07-27,99.23626
1670,2012-07-28,99.00228
1671,2012-07-29,98.97972
1672,2012-07-30,99.07008
1673,2012-07-31,99.11114
1674,2012-08-01,98.97638
1675,2012-08-02,98.9894
1676,2012-08-03,99.03386
1677,2012-08-04,98.84406
1678,2012-08-05,98.64376
1679,2012-08-06,98.65276
1680,2012-08-07,98.7178
1681,2012-08-08,98.83495
1682,2012-08-09,98.81891
1683,2012-08-10,98.67931
1684,2012-08-11,98.21916
1685,2012-08-12,97.81981
1686,2012-08-13,97.91413
1687,2012-08-14,98.55083
1688,2012-08-15,99.18619
1689,2012-08-16,99.71762
1690,2012-08-17,100.1898
1691,2012-08-18,100.5672
1692,2012-08-19,101.7291
1693,2012-08-20,101.5231
1694,2012-08-21,101.1302
1695,2012-08-22,100.4591
1696,2012-08-23,99.69421
1697,2012-08-24,98.95295
1698,2012-08-25,98.38821
1699,2012-08-26,98.06841999999999
1700,2012-08-27,97.7737
1701,2012-08-28,97.47473000000001
1702,2012-08-29,97.26971
1703,2012-08-30,96.92143
1704,2012-08-31,96.57245999999999
1705,2012-09-01,96.31163000000001
1706,2012-09-02,96.23158000000001
1707,2012-09-03,96.33841
1708,2012-09-04,96.41313000000001
1709,2012-09-05,96.65347
1710,2012-09-06,96.85708000000001
1711,2012-09-07,96.67818
1712,2012-09-08,96.45076
1713,2012-09-09,96.28754
1714,2012-09-10,96.31416
1715,2012-09-11,96.41492
1716,2012-09-12,96.61031
1717,2012-09-13,96.7774
1718,2012-09-14,96.96458
1719,2012-09-15,97.23103
1720,2012-09-16,97.59206
1721,2012-09-17,97.90511
1722,2012-09-18,98.12469
1723,2012-09-19,98.42675
1724,2012-09-20,98.8233
1725,2012-09-21,99.09234000000001
1726,2012-09-22,99.18951
1727,2012-09-23,99.2242
1728,2012-09-24,99.28941999999999
1729,2012-09-25,99.35435
1730,2012-09-26,99.25203
1731,2012-09-27,99.07825
1732,2012-09-28,99.09505
1733,2012-09-29,99.29507
1734,2012-09-30,99.4377
1735,2012-10-01,99.38569
1736,2012-10-02,99.28054
1737,2012-10-03,99.23013
1738,2012-10-04,99.20186
1739,2012-10-05,99.26517
1740,2012-10-06,99.58673
1741,2012-10-07,99.88346
